fname,label
8bcbcc394ba64fe85ed4.wav,Finger_snapping
00d77b917e241afa06f1.wav,Squeak
17bb93b73b8e79234cb3.wav,Electric_piano
7d5c7a40a936136da55e.wav,Harmonica
17e0ee7565a33d6c2326.wav,Snare_drum
2d2900e792da5d4f6ab2.wav,Trumpet
6464a45df1b76196be09.wav,Computer_keyboard
b7c35da78543d5f73429.wav,Clarinet
511d31f5a851cc0dae15.wav,Harmonica
3496eb9b56346215e4d3.wav,Laughter
54707f458de140781969.wav,Tearing
a0ba703211ad22d66788.wav,Applause
e36e70d42b9ec2dfc283.wav,Shatter
58ee604efed7a592d864.wav,Computer_keyboard
862e635c5ae0d9665122.wav,Clarinet
b38486a89ff73a2da542.wav,Knock
fd9a8ca19d270e28dae8.wav,Bass_drum
f43d7d2212fb7203a234.wav,Cowbell
5a9ae9490709ddb0a46f.wav,Squeak
9d51b14bd8d26f9475b9.wav,Bass_drum
b701ed703697a5fbef24.wav,Glockenspiel
ae3b5de16b7a0a73e6bc.wav,Bass_drum
f7fb5122abb091d9d6ba.wav,Shatter
d59548e6179f98e2796b.wav,Double_bass
5fba0e1c4d805617fd63.wav,Fireworks
f8190240be8737790d96.wav,Writing
260625d42965f0eedfa5.wav,Trumpet
71f8486cae86ffc55d97.wav,Cough
1ea0ac9647c2e889e62d.wav,Shatter
3c80d288fd92451a9f81.wav,Saxophone
92470d52fd45439c0789.wav,Bass_drum
797833b1de40d5f718e5.wav,Cough
53f5e1b3995f65989887.wav,Bark
544160509c0f823a0956.wav,Keys_jangling
706e65b04cf8f33f9e15.wav,Flute
32e5777ccec80236b86a.wav,Meow
ebacaef534bbf4c25f69.wav,Bass_drum
16a33ef0bf4d3181021b.wav,Oboe
cd696336b45c15489a6a.wav,Cello
89b1d8046d5e70878451.wav,Hi-hat
1913324c6423013db8d6.wav,Fart
e7b2fc114eb75d051c6f.wav,Glockenspiel
3b5fac2984d8c2ffb631.wav,Clarinet
7610948cd4067bcf1fe2.wav,Fireworks
05e4d95ea7bebbd6c2b6.wav,Oboe
f1e649c07b00c52521e6.wav,Applause
b6fbbe5e6b00b03767c0.wav,Burping_or_eructation
70404e35232bbedeb14e.wav,Drawer_open_or_close
7226ede9434780cb0b21.wav,Cowbell
856ba1824037b7939403.wav,Microwave_oven
d498c29522b1ad77e45e.wav,Harmonica
39e2e298e2efa5969deb.wav,Clarinet
425724c3fd51ff3c2612.wav,Applause
bd4865a2c2099ae2cfd2.wav,Applause
257ac3e67f91393d6ca4.wav,Clarinet
0324eadd53a5fac86980.wav,Knock
475564d980f70f719f6b.wav,Burping_or_eructation
d9a27ca7111b49ecb8df.wav,Applause
a1fca1ab708efaf30208.wav,Trumpet
93e6a3505869caead8fd.wav,Bark
e38d4b9cad0eeacc210e.wav,Double_bass
52494103a420808a9728.wav,Cowbell
7fafcdce6ad7f99ae6ed.wav,Flute
2b79e17d42fa863e96e4.wav,Saxophone
2a42edcf08f769114229.wav,Laughter
183339f277ddf31c8017.wav,Knock
dfc9c4b676acbe295145.wav,Bass_drum
06aeabf2e7471338feb2.wav,Saxophone
e7996fd44df2c4e58500.wav,Cough
9c4413f1b6de1540bb62.wav,Cough
50e03eb8116a79b5eedd.wav,Acoustic_guitar
618e5e5c4dd511b62a6e.wav,Tambourine
841552910d5fe65def72.wav,Fart
00ef9881a965e67d2407.wav,Squeak
c6f7c069e0433504f8bb.wav,Oboe
ac56ad7327c4fa7242e6.wav,Knock
c6920bf89d6e3fbb0229.wav,Writing
f0daff7a0185abfa6ae6.wav,Snare_drum
ed6da71a5ab205f4c317.wav,Bark
bb04e1f8bfdba51959bc.wav,Bark
950266a3c800a46c22aa.wav,Bass_drum
c901c50597c5f9518329.wav,Snare_drum
d5554f8c4dbda4eb67d2.wav,Hi-hat
8a4756f7ba346e2bdd5c.wav,Burping_or_eructation
b6db100cb76b74c17df0.wav,Snare_drum
bb307b002740d5ea09d9.wav,Hi-hat
bbc3237ec07424c76ad9.wav,Double_bass
6fae59b6278c79379615.wav,Saxophone
75771c4428c52beeb9d7.wav,Double_bass
fb729d50f302152e0d13.wav,Knock
a04c8ba9c99cdf210fc1.wav,Cough
19a0e1812d148e160fda.wav,Keys_jangling
da90bc20504d7cc5a613.wav,Double_bass
0d2e1b532e9bc37a201f.wav,Shatter
3e4d640893dd5d660c48.wav,Bass_drum
ca2f51cc8a7e34e7ba49.wav,Laughter
c204eacde329728ebd4b.wav,Squeak
e21c7b3bed5492c6a880.wav,Gong
1913763a54e5bc90471c.wav,Gong
60e152c6379c7c4f7d82.wav,Cough
97c68d28259148b74521.wav,Meow
725c42f7d22b4afff520.wav,Applause
5e0a9610035a739fb5a5.wav,Shatter
b695520220680514a815.wav,Double_bass
2ca71ea1ced721246af5.wav,Squeak
099d774a43850939c0e4.wav,Cowbell
e7efc29467f9e3ebe16c.wav,Shatter
fca0d920c6e0a3e07704.wav,Hi-hat
3d8ef33e760a046f91d6.wav,Shatter
f145471b67916070a714.wav,Snare_drum
970ef4a0beccdaafcd0d.wav,Tearing
7f84508869a708cbe12f.wav,Cough
63d6e6715b04c44c01d7.wav,Acoustic_guitar
583018cec8b0243ed21a.wav,Squeak
8b5565b620d4bafb893e.wav,Squeak
db4679096203d5e0c8b6.wav,Oboe
a008fe1f74de2558c2cb.wav,Fireworks
f7146988b3d0ef2b7897.wav,Trumpet
2b2db8efa2569438faaa.wav,Clarinet
40555ccdcd79961cff53.wav,Trumpet
0255073505d494542a3f.wav,Fireworks
54b6d4d73a18d5bdb092.wav,Meow
